business_id,attribute,value
Po0QGzgwFrfnGJEi_akCjA,Alcohol,"beer_and_wine"
Po0QGzgwFrfnGJEi_akCjA,Ambience,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
Po0QGzgwFrfnGJEi_akCjA,BikeParking,"True"
Po0QGzgwFrfnGJEi_akCjA,BusinessAcceptsCreditCards,"True"
Po0QGzgwFrfnGJEi_akCjA,BusinessParking,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"
Po0QGzgwFrfnGJEi_akCjA,Caters,"False"
Po0QGzgwFrfnGJEi_akCjA,GoodForKids,"True"
Po0QGzgwFrfnGJEi_akCjA,GoodForMeal,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
Po0QGzgwFrfnGJEi_akCjA,HasTV,"True"
Po0QGzgwFrfnGJEi_akCjA,NoiseLevel,"average"
Po0QGzgwFrfnGJEi_akCjA,OutdoorSeating,"False"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsAttire,"casual"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsDelivery,"False"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsGoodForGroups,"True"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsPriceRange2,"2"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsReservations,"True"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsTableService,"True"
Po0QGzgwFrfnGJEi_akCjA,RestaurantsTakeOut,"False"
Po0QGzgwFrfnGJEi_akCjA,WheelchairAccessible,"True"
Po0QGzgwFrfnGJEi_akCjA,WiFi,"no"
aWYWNfHuQJyRwDHaHq8X1w,Alcohol,"full_bar"
aWYWNfHuQJyRwDHaHq8X1w,Ambience,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"
aWYWNfHuQJyRwDHaHq8X1w,BYOB,"False"
aWYWNfHuQJyRwDHaHq8X1w,BYOBCorkage,"yes_free"
aWYWNfHuQJyRwDHaHq8X1w,BikeParking,"True"
aWYWNfHuQJyRwDHaHq8X1w,BusinessAcceptsBitcoin,"False"
aWYWNfHuQJyRwDHaHq8X1w,BusinessAcceptsCreditCards,"True"
aWYWNfHuQJyRwDHaHq8X1w,BusinessParking,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"
aWYWNfHuQJyRwDHaHq8X1w,Caters,"True"
aWYWNfHuQJyRwDHaHq8X1w,Corkage,"False"
aWYWNfHuQJyRwDHaHq8X1w,GoodForKids,"True"
aWYWNfHuQJyRwDHaHq8X1w,GoodForMeal,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
aWYWNfHuQJyRwDHaHq8X1w,HasTV,"True"
aWYWNfHuQJyRwDHaHq8X1w,NoiseLevel,"average"
aWYWNfHuQJyRwDHaHq8X1w,OutdoorSeating,"False"
aWYWNfHuQJyRwDHaHq8X1w,RestaurantsAttire,"casual"
