business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Po0QGzgwFrfnGJEi_akCjA,"Korean Garden BBQ House","Chinatown","4355 Spring Mountain Rd",Las Vegas,NV,89102,36.125908,-115.197904,3.0,260,1,11-23,11-23,11-23,11-23,11-23,11-23,11-23
aWYWNfHuQJyRwDHaHq8X1w,"Tex Tubb's Taco Palace","Williamson - Marquette","2009 Atwood Ave",Madison,WI,53704,43.0920977,-89.3547317,3.5,242,1,11-21,11-21,11-22,11-22,11-23,10-23,10-21
jmyvOW6G2T1fIePvajB4nQ,"Cuba Cafe","Southeast","2055 E Tropicana Ave",Las Vegas,NV,89119,36.1002598,-115.1251555,4.0,261,1,11-21,11-21,11-21,11-21,11-22,11-22,11-21
kHpXJ2vciumu2KhNHg0hYA,"Majerle's Sports Grill","","24 N 2nd St",Phoenix,AZ,85004,33.4484654,-112.0712574,3.5,228,1,11-2,11-2,11-2,11-2,11-2,11-2,11-2
y_3IkHGoSkZlAqdkrMG-1w,"Mardi Gras Hotel & Casino","Eastside","3500 Paradise Rd",Las Vegas,NV,89169,36.125652,-115.153687,2.0,202,1,0-0,0-0,0-0,0-0,0-0,0-0,0-0
WOd8tWsh2Yt_osHv-ngx_w,"Universel","Ville-Marie","2055 Rue Peel",Montréal,QC,H3A 1V4,45.5015765,-73.5755787,4.0,251,1,7-22,7-22,7-23,7-0,7-0,7-0,7-22
tNJkfAMdwznUX4l31cgq4Q,"Bluegreen Vacations Club 36, Ascend Resort Collection","Eastside","372 East Tropicana Ave",Las Vegas,NV,89169,36.103149,-115.156798,3.0,215,1,0-0,0-0,0-0,0-0,0-0,0-0,0-0
F80c5w4dUF1QoFcJG4JrmQ,"Sweet Melissa","","19337 Detroit Rd",Rocky River,OH,44116,41.4813363086,-81.8366502362,3.5,239,1,11-21,11-22,11-22,11-22,11-23,9-23,9-21
RVTxiiWQwmeSJonJgYwwWg,"teres : A Nail Bar","","7120 E Indian School Rd, Ste H",Scottsdale,AZ,85251,33.49549,-111.92749,4.0,201,1,10-19,9-19,9-19,9-19,9-19,10-19,10-16
Kuv-QSWUtOm5IjAxcFMl8A,"Luna Bakery Cafe","","2482 Fairmount Blvd",Cleveland,OH,44106,41.5005333,-81.5921431,4.0,207,1,7-19,7-19,7-19,7-19,7-19,8-17,8-17
AZQKMMvX9m1-uTdLPMzK3g,"Spokes On Southern","","1470 E Southern Ave",Tempe,AZ,85282,33.3930144,-111.9146171,4.0,224,1,11-2,11-2,11-2,11-2,11-2,11-2,11-2
JR2ma-JU1CO_xVD_p5-RPw,"Joe's Crab Shack","","1606 W Baseline",Tempe,AZ,85283,33.3787501,-111.9663674,3.0,217,1,11-0,11-0,11-0,11-0,11-0,11-0,11-0
nxCRx5_US4XLxufkF6-Tlw,"SuperShuttle","","",Phoenix,AZ,85040,33.4040693,-112.029752,4.0,253,1,0-0,0-0,0-0,0-0,0-0,0-0,0-0
YQFcxE9UXrKc-QuTUu7twQ,"Loco Patron","","4228 N Scottsdale Rd",Scottsdale,AZ,85251,33.4977693,-111.9264149,3.5,274,1,11-2,11-2,11-2,11-2,11-2,11-2,11-2
A6qvHu4tVEKzwjZjWSCeRQ,"V - The Ultimate Variety Show","The Strip","3663 S Las Vegas Blvd, #360B",Las Vegas,NV,89109,36.1107409676,-115.168835459,4.0,288,1,19-22,19-22,19-22,19-22,19-22,19-22,19-22
5pMNyj77S1P3rrT69y1pkQ,"Joe's New York Pizza","","7321 E Shoeman Ln",Scottsdale,AZ,85251,33.500516,-111.923299,3.5,238,1,9-4,9-4,9-4,9-4,9-4,9-4,9-4
BkIZ8UDA23qxnp_kR1Sv8Q,"Eggspectation","Ville-Marie","190 Sainte-Catherine Ouest",Montréal,QC,H2X 2X3,45.5073024199,-73.5658770571,4.0,231,1,6-16,6-16,6-16,6-16,6-16,7-16,7-16
q10IXjtZqao66bVtPExTXw,"Parker & Sons","","3636 E Anne St, Ste A",Phoenix,AZ,85040,33.4138514,-112.0022908,3.5,269,1,0-0,0-0,0-0,0-0,0-0,0-0,0-0
ZPAkg2phFo_p3U-QjvHVPw,"Mama Santa's","Little Italy","12301 Mayfield Rd",Cleveland,OH,44106,41.5088425,-81.5972284,3.0,207,1,11-22,11-22,11-22,11-22,11-22,11-22,11-22
iPPzDL_oY8SJCjmycuXcVg,"buzzberry","","5959 N Granite Reef Rd",Scottsdale,AZ,85250,33.523554,-111.899784,3.5,202,1,5-5,5-5,5-5,5-5,5-5,5-5,5-5
jBs2HmEOkqCvdHNnw3N-og,"Red Robin Gourmet Burgers","Centennial","7860 W. Tropical Parkway",Las Vegas,NV,89149,36.271428,-115.266543,3.5,225,1,11-22,11-22,11-22,11-22,11-23,11-23,11-22
FML0YqZ7dLBBC3Suap4_4Q,"416 Snack Bar","Alexandra Park","181 Bathurst Street",Toronto,ON,M5T 2R7,43.6475413,-79.4038619,4.0,215,1,17-2,17-2,17-2,17-2,12-2,12-2,12-2
H8qlBw1YaxMsItfz25-AyA,"John Cutter","Summerlin","11770 W Charleston Blvd",Las Vegas,NV,89135,36.159014,-115.351342,3.0,241,1,6-6,6-6,6-6,6-6,6-6,6-6,6-6
AuIiqDeL65kczmiFSkAWrA,"Maggiano's Little Italy","South Park","4400 Sharon Rd",Charlotte,NC,28211,35.1521570238,-80.8302691114,3.5,235,1,11-22,11-22,11-22,11-22,11-23,11-23,11-21
sAXy1yJRLllTm5WrJbJGAA,"Del Frisco's Double Eagle Steak House","South Park","4725 Piedmont Row Dr, Ste 170",Charlotte,NC,28210,35.1517086588,-80.8394172192,4.0,230,1,17-22,17-22,17-22,17-22,17-23,17-23,17-21
nnB9aw5tLaYZHgAvwzpPOg,"Irish Wolfhound","","16811 N Litchfield Rd",Surprise,AZ,85374,33.6368237659,-112.359013291,4.0,227,1,11-2,11-2,11-2,11-2,11-2,11-2,11-2
Bkkwt8E9MHvgCHn4lUFtow,"Roy's Restaurant","","5350 E Marriott Dr",Phoenix,AZ,85054,33.6834609026,-111.965779048,3.5,246,1,16-22,16-22,16-22,16-22,16-23,16-23,16-21
H85um1dDQHAeUJ6AqYIqww,"Move 4 Less","Spring Valley","7632 W Post Rd",Las Vegas,NV,89113,36.0741662,-115.2576408,4.0,263,1,8-18,8-18,8-18,8-18,8-18,8-17,8-17
cNz2tTTAPmdeAq6HnGeo8w,"Roland's Seafood Grill","Strip District","1904 Penn Ave",Pittsburgh,PA,15222,40.4505899,-79.9842832,2.5,241,1,11-0,11-0,11-0,11-0,11-2,11-2,11-0
sH-11zOhWubXobEeuMo2gg,"Oink","Old Town","34 Victoria Street, Old Town",Edinburgh,EDH,EH1 2JW,55.948585,-3.1939987,4.5,205,1,11-17,11-17,11-17,11-17,11-17,11-17,11-17
82I9SSilxh3zL8F1UQ45Xw,"Uncle Bear's Brewery","","4921 E Ray Rd, Ste 103",Phoenix,AZ,85044,33.317170576,-111.976508211,3.5,246,1,11-23,11-23,11-23,11-23,11-1,11-1,11-23
A6nY4SCrMuLPtlbq-EKnfA,"The Living Room","","2475 W Queen Creek Rd, Ste 1",Chandler,AZ,85248,33.2611752,-111.8840725,3.5,275,1,11-23,11-23,11-23,11-23,11-2,11-2,11-23
JOoblYsQjFT-47tkt6om0A,"7 West Cafe","Downtown Core","7 Charles Street W",Toronto,ON,M4Y 1R4,43.6685661933,-79.3865257502,3.5,275,1,6-6,6-6,6-6,6-6,6-6,6-6,6-6
JQLi-Ow9pg391iMzw5LSwg,"Mary's Hash House","Westside","2605 S Decatur Blvd, Ste 103",Las Vegas,NV,89102,36.142094,-115.209418,4.0,272,1,6-14,6-14,6-14,6-14,6-14,6-14,6-14
hDD6-yk1yuuRIvfdtHsISg,"Nakama","South Side","1611 E Carson St",Pittsburgh,PA,15203,40.4290289,-79.9822249,3.0,246,1,11-22,11-22,11-22,11-23,11-23,11-23,13-22
i1Xkm22_96GNVVOXSUoL0A,"The Captain's Boil","Willowdale","5313 Yonge St",Toronto,ON,M2N 5R4,43.7733186,-79.4135718,3.5,233,1,11-0,11-0,11-0,11-0,11-1,11-1,11-0
Uq-GOs9_IqweUsB5MdII9w,"Emma's Country Kitchen","","810 Saint Clair Avenue W",Toronto,ON,M6C 1B6,43.6809039,-79.4303387,4.0,247,1,8-16,8-17,8-16,8-16,8-16,9-15,9-15
